game_ID,Year,Team,Zone,Foot,Keeper,Goal,Penalty_number,Qualif,Elimination,Keeper_moovs,duration_sifflet,duration_ball,arret
801,2024,RSA,1,R,R,0,1,N,N,N,56,5,N
801,2024,RDC,2,L,R,1,2,N,N,N,25,4.5,N
801,2024,RSA,5,R,M,1,3,N,N,Y,20,5,N
801,2024,RDC,3,R,L,1,4,N,N,Y,14,3,N
801,2024,RSA,1,R,L,1,5,N,N,Y,20,3,N
801,2024,RDC,4,R,L,1,6,N,N,Y,28,5,N
801,2024,RSA,5,L,R,1,7,N,N,Y,15,2.5,N
801,2024,RDC,3,L,R,1,8,N,N,Y,17,1.5,N
801,2024,RSA,1,R,R,1,9,N,Y,Y,23,4.5,N
801,2024,RDC,1,R,L,0,10,Y,N,Y,27,5,Y
801,2024,RSA,1,R,L,1,11,N,N,Y,11,3,N
801,2024,RDC,6,R,L,1,12,N,Y,Y,29,4.5,N
801,2024,RSA,1,R,R,1,13,N,N,Y,14,4,N
801,2024,RDC,1,R,L,0,14,N,Y,Y,23,8,Y
802,2024,NGA,3,L,R,1,1,N,N,Y,53,6,N
802,2024,RSA,1,R,L,0,2,N,N,N,32,17,Y
802,2024,NGA,1,R,M,1,3,N,N,Y,17,6,N
802,2024,RSA,5,R,R,1,4,N,N,N,26,7,N
802,2024,NGA,2,R,R,0,5,N,N,Y,15,6,N
802,2024,RSA,1,R,L,0,6,N,N,N,25,2.5,Y
802,2024,NGA,2,R,L,1,7,N,N,Y,29,5,N
802,2024,RSA,1,R,R,1,8,N,Y,N,29,3,N
802,2024,NGA,5,R,R,1,9,Y,N,Y,18,5,N
803,2024,CPV,1,R,L,0,1,N,N,N,52,4.5,Y
803,2024,RSA,4,R,R,1,2,N,N,N,30,6,N
803,2024,CPV,1,R,L,0,3,N,N,N,15,5,Y
803,2024,RSA,4,R,R,0,4,N,N,N,16,6,N
803,2024,CPV,1,R,L,0,5,N,N,N,14,2.5,Y
803,2024,RSA,3,L,R,0,6,N,N,N,20,6,Y
803,2024,CPV,6,R,R,1,7,N,N,N,32,3.5,N
803,2024,RSA,3,R,R,1,8,N,N,Y,31,5,N
803,2024,CPV,5,L,R,0,9,N,Y,N,30,8,Y
804,2024,SEN,6,R,L,1,1,N,N,Y,24,4,N
804,2024,CIV,1,R,L,1,2,N,N,N,46,3.5,N
804,2024,SEN,1,R,R,1,3,N,N,Y,23,7,N
804,2024,CIV,1,R,R,1,4,N,N,N,35,7,N
804,2024,SEN,2,L,M,0,5,N,N,Y,30,10,N
804,2024,CIV,2,R,M,1,6,N,N,N,16,2.5,N
804,2024,SEN,1,R,R,1,7,N,N,Y,19,2.5,N
