game_ID,Year,Team,Zone,Foot,Keeper,Goal,Penalty_number,Qualif,Elimination,Keeper_moovs,duration_sifflet,duration_ball,arret
201,2024,CAN,1,R,R,1,1,N,N,N,2,"24,11",N
201,2024,URU,1,R,L,1,2,N,N,Y,"2,6","13,54",N
201,2024,CAN,5,R,L,1,3,N,N,Y,"9,6",68,N
201,2024,URU,2,R,R,1,4,N,N,N,"2,8","13,1",N
201,2024,CAN,1,R,L,0,5,N,N,N,"7,8","27,8",Y
201,2024,URU,4,R,L,1,6,N,N,N,"1,6","10,8",N
201,2024,CAN,2,R,L,1,7,N,N,N,"3,2","29,1",N
201,2024,URU,6,R,R,1,8,N,N,N,"4,1","12,9",N
201,2024,CAN,4,L,L,0,9,N,Y,N,"1,3","12,1",N
202,2024,URU,1,R,L,1,1,N,N,N,"1,3",54,N
202,2024,BRA,6,R,R,0,2,N,N,Y,"7,1","31,7",Y
202,2024,URU,5,R,R,1,3,N,N,N,"2,7","17,8",N
202,2024,BRA,1,R,R,1,4,N,N,Y,"6,7","26,1",N
202,2024,URU,4,R,L,1,5,N,N,N,"1,5","14,1",N
202,2024,BRA,1,R,L,0,6,N,N,Y,"17,2","37,7",N
202,2024,URU,5,R,R,0,7,Y,N,N,"2,3","18,8",Y
202,2024,BRA,6,R,M,1,8,N,Y,N,"5,1",25,N
202,2024,URU,6,R,L,1,9,Y,N,N,"2,7","20,2",N
203,2024,VEN,5,R,L,1,1,N,N,Y,"3,4","39,2",N
203,2024,CAN,6,R,R,1,2,N,N,N,"4,7","18,9",N
203,2024,VEN,1,R,R,0,3,N,N,Y,"1,6","13,9",N
203,2024,CAN,6,R,L,0,4,N,N,N,"6,3",0,N
203,2024,VEN,3,R,L,1,5,N,N,Y,"7,2","18,2",N
203,2024,CAN,5,R,L,1,6,N,N,N,"7,2","45,3",N
203,2024,VEN,2,R,L,0,7,N,N,Y,"2,2","23,2",Y
203,2024,CAN,5,R,R,0,8,N,N,N,"9,5",22,Y
203,2024,VEN,5,R,L,1,9,N,N,Y,"7,1","22,7",N
203,2024,CAN,6,L,L,1,10,N,Y,N,"2,6","21,1",N
203,2024,VEN,5,R,R,0,11,N,N,N,"2,1",16,Y
203,2024,CAN,1,R,R,1,12,Y,N,N,"7,2","23,9",N
204,2024,ARG,4,L,R,0,1,N,N,N,"2,3","56,8",N
204,2024,ECU,5,L,R,0,2,N,N,Y,"8,5","18,9",Y
204,2024,ARG,6,R,R,1,3,N,N,N,"6,2",0,N
204,2024,ECU,1,R,L,0,4,N,N,Y,"3,9","15,1",Y
204,2024,ARG,5,R,L,1,5,N,N,N,"7,6",22,N
204,2024,ECU,6,L,L,1,6,N,N,Y,"2,2",0,N
204,2024,ARG,5,R,L,1,7,N,N,N,"2,9","11,3",N
204,2024,ECU,3,R,L,1,8,N,Y,N,"7,6","24,9",N
204,2024,ARG,1,R,L,1,9,Y,N,N,"5,7","13,7",N
205,2021,COL,1,R,L,1,1,N,N,N,"3,2","29,3",N
205,2021,ARG,6,L,L,1,2,N,N,N,"2,7","17,8",N
205,2021,COL,5,R,R,0,3,N,N,Y,"5,3","21,6",Y
205,2021,ARG,2,R,L,0,4,N,N,N,"2,1",0,N
205,2021,COL,5,R,R,0,5,N,N,Y,"6,1","27,9",Y
205,2021,ARG,1,R,R,1,6,N,N,N,"4,8","20,1",N
205,2021,COL,4,R,L,1,7,N,N,Y,"5,1","27,4",N
205,2021,ARG,2,R,L,1,8,N,N,Y,"2,9","24,2",N
205,2021,COL,5,R,R,0,9,N,Y,Y,"4,1",0,Y
206,2021,COL,4,R,L,1,1,N,N,N,"3,9","32,6",N
206,2021,URU,5,R,R,1,2,N,N,N,"2,8",22,N
206,2021,COL,5,R,R,1,3,N,N,N,"6,6","20,5",N
206,2021,URU,1,R,L,0,4,N,N,N,"2,9",10,Y
206,2021,COL,6,R,R,1,5,N,N,N,"7,8","46,9",N
206,2021,URU,1,R,R,1,6,N,N,N,3,"15,7",N
206,2021,COL,1,R,R,1,7,N,N,Y,"6,1","16,2",N
206,2021,URU,6,L,R,0,8,N,Y,N,"2,6","14,1",Y
207,2021,PAR,1,R,R,1,1,N,N,Y,"9,1","52,7",N
207,2021,PER,1,L,L,1,2,N,N,N,"2,9",17,N
207,2021,PAR,1,L,L,1,3,N,N,Y,"4,4","17,3",N
207,2021,PER,3,L,R,1,4,N,N,N,8,"14,3",N
207,2021,PAR,4,L,L,0,5,N,N,Y,"3,4","17,8",N
207,2021,PER,5,L,R,0,6,N,N,N,"13,9","4,5",Y
207,2021,PAR,2,R,L,0,7,N,N,Y,"2,5","27,8",N
207,2021,PER,1,R,R,1,8,N,N,N,4,"21,2",N
207,2021,PAR,6,R,L,1,9,N,Y,N,"5,8","25,8",N
207,2021,PER,6,R,L,0,10,Y,N,N,"5,9","26,4",Y
207,2021,PAR,1,R,L,0,11,N,N,Y,"3,1","22,8",Y
207,2021,PER,5,L,R,1,12,Y,N,Y,"3,2","19,2",N
208,2019,COL,5,L,L,1,1,N,N,N,"2,6","40,3",N
208,2019,CHI,2,R,R,1,2,N,N,N,"3,4","21,8",N
208,2019,COL,5,R,R,1,3,N,N,Y,"3,5","21,4",N
208,2019,CHI,2,R,R,1,4,N,N,N,"4,2","20,2",N
208,2019,COL,1,R,L,1,5,N,N,Y,3,"17,5",N
208,2019,CHI,4,R,L,1,6,N,N,N,"4,5","18,8",N
208,2019,COL,6,R,L,1,7,N,N,Y,"5,3","20,2",N
208,2019,CHI,2,R,L,1,8,N,N,N,4,37,N
208,2019,COL,2,L,R,0,9,N,N,Y,"3,2","24,2",N
208,2019,CHI,5,R,L,1,10,Y,N,N,"2,7","19,6",N
209,2019,URU,1,R,L,0,1,N,N,Y,"3,4","31,3",Y
209,2019,PER,1,R,M,1,2,N,N,Y,"3,7","35,1",N
209,2019,URU,6,R,L,1,3,N,N,Y,"2,8","16,8",N
209,2019,PER,1,R,L,1,4,N,N,N,"2,7","20,8",N
209,2019,URU,6,R,L,1,5,N,N,Y,"2,9","20,7",N
209,2019,PER,6,L,R,1,6,N,N,N,"5,6","25,8",N
209,2019,URU,6,R,L,1,7,N,N,N,"4,3","27,2",N
209,2019,PER,2,R,L,1,8,N,N,N,"5,9","30,8",N
209,2019,URU,5,R,M,1,9,N,Y,Y,"2,8","33,9",N
209,2019,PER,3,L,R,1,10,Y,N,Y,"3,8","22,2",N
210,2019,PAR,5,R,R,0,1,N,N,N,"3,3","22,6",Y
210,2019,BRA,6,R,L,1,2,N,N,N,"2,8","34,5",N
210,2019,PAR,1,L,R,1,3,N,N,Y,"7,8","49,5",N
210,2019,BRA,1,R,R,1,4,N,N,N,"4,7","31,3",N
210,2019,PAR,1,R,L,1,5,N,N,Y,5,"33,6",N
210,2019,BRA,1,R,L,1,6,N,N,N,"4,8",26,N
210,2019,PAR,2,R,L,1,7,N,N,Y,"2,8",0,N
210,2019,BRA,2,R,R,0,8,N,N,N,"4,3","30,3",N
210,2019,PAR,1,R,R,0,9,N,N,N,2,"23,6",N
210,2019,BRA,1,R,R,1,10,Y,N,N,"4,8","35,6",N
211,2016,CHI,5,R,R,0,1,N,N,Y,"2,2",71,Y
211,2016,ARG,6,L,L,0,2,N,N,N,"2,6","17,1",N
211,2016,CHI,2,R,R,1,3,N,N,N,"4,8","15,7",N
211,2016,ARG,2,R,R,1,4,N,N,Y,"1,5","14,2",N
211,2016,CHI,6,R,M,1,5,N,N,N,0,"24,1",N
211,2016,ARG,5,R,R,1,6,N,N,N,"3,7","16,9",N
211,2016,CHI,2,L,R,1,7,N,N,N,"3,2","16,2",N
211,2016,ARG,1,R,L,1,8,N,N,N,"3,8","16,5",N
211,2016,CHI,1,R,R,1,9,Y,N,N,"1,8","30,3",N
212,2016,COL,5,L,R,1,1,N,N,N,"2,3",0,N
212,2016,PER,2,R,R,1,2,N,N,N,2,"23,2",N
212,2016,COL,5,R,L,1,3,N,N,N,"2,7",0,N
212,2016,PER,5,R,L,1,4,N,N,N,"2,9","19,9",N
212,2016,COL,3,R,L,1,5,N,N,N,"3,7","16,5",N
212,2016,PER,3,L,R,0,6,N,N,N,"3,1","14,4",Y
212,2016,COL,3,R,L,1,7,N,N,N,"3,4",0,N
212,2016,PER,6,R,L,1,8,N,Y,N,"5,8","25,1",N
213,2015,CHI,2,R,L,1,1,N,N,Y,"3,4","24,11",N
213,2015,ARG,5,L,R,1,2,N,N,Y,"3,1","20,6",N
213,2015,CHI,1,R,L,1,3,N,N,N,3,"13,6",N
213,2015,ARG,2,R,R,0,4,N,N,Y,"2,3","8,7",N
213,2015,CHI,5,R,R,1,5,N,N,N,"4,5","22,3",N
213,2015,ARG,2,R,R,0,6,N,N,Y,"1,8","17,3",N
213,2015,CHI,3,R,R,1,7,Y,N,N,"1,7",0,N
214,2015,COL,1,L,R,1,1,N,N,N,"2,3","19,1",N
214,2015,ARG,2,L,R,1,2,N,N,N,"4,4","15,8",N
214,2015,COL,2,R,L,1,3,N,N,N,"3,3","12,8",N
214,2015,ARG,2,R,L,1,4,N,N,N,"3,7","26,8",N
214,2015,COL,2,R,L,1,5,N,N,N,"3,3",0,N
214,2015,ARG,2,R,R,1,6,N,N,N,"3,1","11,6",N
214,2015,COL,6,R,M,0,7,N,N,N,"2,5","13,2",N
214,2015,ARG,1,R,L,1,8,N,N,N,"4,3","17,8",N
214,2015,COL,5,R,R,1,9,N,Y,N,"3,1","14,8",N
214,2015,ARG,5,R,M,0,10,Y,N,N,"4,3","21,8",N
214,2015,COL,2,R,L,0,11,N,N,N,2,"12,6",Y
214,2015,ARG,6,L,R,0,12,Y,N,N,"2,6","13,1",N
214,2015,COL,2,R,R,0,13,N,N,N,"1,8",15,N
214,2015,ARG,3,R,L,1,14,Y,N,N,"2,6","18,6",N
215,2015,BRA,2,R,L,1,1,N,N,Y,"2,5","19,1",N
215,2015,PAR,2,R,L,1,2,N,N,N,"3,7","15,3",N
215,2015,BRA,5,L,L,0,3,N,N,N,"7,3","17,4",N
215,2015,PAR,4,R,R,1,4,N,N,N,3,"16,7",N
215,2015,BRA,5,R,M,1,5,N,N,N,"3,9","10,6",N
215,2015,PAR,2,R,L,1,6,N,N,N,"1,3","8,3",N
215,2015,BRA,6,L,L,0,7,N,N,N,"4,7","12,2",Y
215,2015,PAR,2,R,L,0,8,Y,N,N,"2,2","10,3",N
215,2015,BRA,1,R,R,1,9,N,Y,N,"2,5","12,8",N
215,2015,PAR,6,R,L,1,10,Y,N,N,"1,6","10,4",N
216,2011,PAR,6,R,L,1,1,N,N,N,"3,7","40,2",N
216,2011,VEN,1,R,R,1,2,N,N,N,"2,5","10,9",N
216,2011,PAR,5,R,L,1,3,N,N,N,3,"12,4",N
216,2011,VEN,5,R,R,1,4,N,N,N,2,"9,6",N
216,2011,PAR,2,R,R,1,5,N,N,N,"4,9","19,5",N
216,2011,VEN,1,R,L,0,6,N,N,N,"1,7","12,4",Y
216,2011,PAR,4,R,L,1,7,N,N,N,"3,8","14,8",N
216,2011,VEN,2,R,L,1,8,N,N,N,3,"11,3",N
216,2011,PAR,2,R,R,1,9,Y,N,N,"1,9","15,6",N
217,2011,BRA,2,R,L,0,1,N,N,N,"7,7",0,N
