game_ID,Year,Team,Zone,Foot,Keeper,Goal,Penalty_number,Qualif,Elimination,Keeper_moovs,duration_sifflet,duration_ball,arret
501,2024,BEN,5,L,L,0,1,N,N,N,"4,6",42,N
501,2024,OM,5,R,R,1,2,N,N,N,"3,8","13,2",N
501,2024,BEN,5,R,L,1,3,N,N,N,"2,8",28,N
501,2024,OM,6,L,L,1,4,N,N,N,4,17,N
501,2024,BEN,5,R,L,1,5,N,N,N,"4,65","22,5",N
501,2024,OM,1,R,R,1,6,N,N,N,"6,5","23,5",N
501,2024,BEN,1,R,R,0,7,N,N,N,"3,1","19,3",Y
501,2024,OM,2,R,R,1,8,Y,N,N,"7,5","2,3",N
502,2024,ROM,1,R,R,1,1,N,N,N,5,18.2,N
502,2024,FEY,1,R,L,1,2,N,N,N,11,37,N
502,2024,ROM,5,L,L,0,3,N,N,N,"4,5",11,Y
502,2024,FEY,1,L,R,0,4,N,N,N,"2,7",18,Y
502,2024,ROM,6,R,R,1,5,N,N,N,"3,4",20,N
502,2024,FEY,2,R,R,0,6,N,N,N,6,13,Y
502,2024,ROM,5,R,R,1,7,N,N,Y,"4,5","20,5",N
502,2024,FEY,1,L,R,1,8,N,Y,N,5,"22,5",N
502,2024,ROM,2,R,R,1,9,Y,N,N,7,28,N
503,2023,SEV,3,R,L,1,1,N,N,N,4,42,N
503,2023,ROM,1,R,R,1,2,N,N,N,7,19,N
503,2023,SEV,5,L,L,1,3,N,N,N,"4,3","15,5",N
503,2023,ROM,5,R,L,0,4,N,N,N,"5,5","18,25",Y
503,2023,SEV,1,R,L,1,5,N,N,N,"6,7",19,N
503,2023,ROM,1,R,R,0,6,N,N,N,"5,5",23,Y
503,2023,SEV,1,R,L,1,7,Y,N,N,4,22,N
504,2023,SPO,2,R,R,1,1,N,Y,N,3,18,N
504,2023,ARS,1,L,L,1,2,N,N,N,4,14,N
504,2023,SPO,6,R,M,1,3,N,N,N,3,"13,3",N
504,2023,ARS,5,L,R,1,4,N,N,N,"5,7",17,N
504,2023,SPO,5,L,L,1,5,N,N,N,"2,7",17,N
504,2023,ARS,5,R,L,1,6,N,N,N,,26,N
504,2023,SPO,1,R,R,1,7,N,N,N,5,21,N
504,2023,ARS,5,R,L,0,8,N,N,N,5,25,Y
504,2023,SPO,5,L,L,1,9,Y,N,N,"5,5",,N
505,2023,REN,1,R,L,1,1,N,N,N,7,21,N
505,2023,SHA,1,R,M,1,2,N,N,N,"4,2","18,5",N
505,2023,REN,1,R,R,0,3,N,N,N,"7,6",19,Y
505,2023,SHA,3,R,R,1,4,N,N,N,3,,N
505,2023,REN,1,L,R,0,5,N,N,N,"7,7",15,Y
505,2023,SHA,6,L,L,1,6,N,N,N,"6,7",14,N
505,2023,REN,1,R,L,1,7,N,Y,N,4,"15,5",N
505,2023,SHA,1,R,R,0,8,Y,N,N,"3,8",11,N
505,2023,REN,5,R,R,1,9,N,Y,N,7,24,N
505,2023,SHA,2,R,R,0,10,Y,N,N,8,"18,4",N
505,2023,REN,2,R,R,1,11,N,N,N,5,13,N
505,2023,SHA,1,R,L,1,12,N,Y,N,,17,N
505,2023,REN,1,R,R,0,13,N,N,N,3,,Y
505,2023,SHA,5,L,L,1,14,Y,N,N,"7,5",33,N
506,2023,LEV,1,R,R,1,1,N,N,N,3,15,N
506,2023,MON,2,R,L,1,2,N,N,N,3,10,N
506,2023,LEV,1,R,R,1,3,N,N,N,5,"13,6",N
506,2023,MON,4,R,L,0,4,N,N,N,"5,6",16,N
506,2023,LEV,2,R,M,1,5,N,N,N,"7,3",26,N
506,2023,MON,5,R,R,1,6,N,N,N,"1,6",9,N
506,2023,LEV,1,L,R,1,7,N,N,N,"2,8","10,4",N
506,2023,MON,5,L,L,1,8,N,N,N,"2,7","12,5",N
506,2023,LEV,5,L,L,1,9,Y,N,N,"3,8","14,2",N
507,2022,RAN,3,R,L,1,1,N,N,N,"5,5","36,5",N
507,2022,FRK,6,L,R,1,2,N,N,N,"2,8","28,7",N
507,2022,RAN,6,R,R,1,3,N,N,N,"4,8",13,N
507,2022,FRK,1,L,L,1,4,N,N,N,"3,8",19,N
507,2022,RAN,2,R,R,1,5,N,N,N,5,13,N
507,2022,FRK,6,R,L,1,6,N,N,N,"5,5",17,N
507,2022,RAN,3,R,R,0,7,N,N,N,9,"14,5",Y
507,2022,FRK,5,L,L,1,8,N,N,N,5,9,N
507,2022,RAN,1,R,R,1,9,N,Y,N,5,23,N
