game_ID,Year,Team,Zone,Foot,Keeper,Goal,Penalty_number,Qualif,Elimination,Keeper_moovs,duration_sifflet,duration_ball,arret
1201,2023,USA,1,R,L,0,1,N,N,Y,"3,9",62,Y
1201,2023,PAN,3,R,L,1,2,N,N,N,"3,3","15,1",N
1201,2023,USA,1,R,R,1,3,N,N,Y,"6,8","31,7",N
1201,2023,PAN,1,R,R,1,4,N,N,N,4,13,N
1201,2023,USA,6,R,R,1,5,N,N,N,"3,7",0,N
1201,2023,PAN,5,R,R,0,6,N,N,N,"4,2","13,8",Y
1201,2023,USA,5,R,L,1,7,N,N,Y,"2,2",0,N
1201,2023,PAN,5,R,L,1,8,N,N,N,"4,6",0,N
1201,2023,USA,6,R,L,1,9,N,N,N,"1,8","12,4",N
1201,2023,PAN,1,R,R,1,10,N,Y,N,"5,9",41,N
1201,2023,USA,1,R,L,0,11,N,N,N,5,"19,6",Y
1201,2023,PAN,2,R,L,1,12,Y,N,N,"3,8","17,2",N
1202,2023,CAN,3,R,M,0,1,N,N,N,"9,2","24,5",Y
1202,2023,USA,6,R,L,0,2,N,N,N,"4,4",16,N
1202,2023,CAN,5,R,R,0,3,N,N,N,"1,8","9,4",Y
1202,2023,USA,4,R,L,1,4,N,N,N,4,"18,4",N
1202,2023,CAN,6,L,R,1,5,N,N,N,2,"20,3",N
1202,2023,USA,6,R,R,1,6,N,N,N,"5,5","18,4",N
1202,2023,CAN,5,R,M,1,7,N,N,N,3,"10,2",N
1202,2023,USA,6,R,R,1,8,N,N,N,"3,5","18,3",N
1202,2023,CAN,4,R,L,0,9,N,Y,N,"3,3",20,N
1203,2019,MEX,1,R,L,0,1,N,N,N,"3,8","29,7",Y
1203,2019,COS,2,R,R,1,2,N,N,Y,"6,7","18,5",N
1203,2019,MEX,6,L,L,1,3,N,N,N,"2,6","20,4",N
1203,2019,COS,6,L,R,1,4,N,N,Y,2,"22,5",N
1203,2019,MEX,1,L,R,1,5,N,N,N,"3,3","24,6",N
1203,2019,COS,1,R,L,0,6,N,N,Y,"3,5",21,N
1203,2019,MEX,5,L,L,1,7,N,N,N,"4,8","24,4",N
1203,2019,COS,5,R,L,1,8,N,N,Y,"4,9",0,N
1203,2019,MEX,1,L,R,1,9,N,N,N,"1,8","16,4",N
1203,2019,COS,3,L,R,1,10,N,Y,N,"6,4","34,7",N
1203,2019,MEX,1,R,R,1,11,N,N,N,"4,9","20,2",N
1203,2019,COS,1,R,L,0,12,N,Y,N,"3,7","19,2",Y
