game_ID,Year,Team,Zone,Foot,Keeper,Goal,Penalty_number,Qualif,Elimination,Keeper_moovs,duration_sifflet,duration_ball,arret
401,2024,MCI,6,R,L,1,1,N,N,N,2.8,33.7,N
401,2024,RMA,1,R,L,0,2,N,N,Y,3.9,17,Y
401,2024,MCI,4,L,M,0,3,N,N,Y,1.2,16.6,Y
401,2024,RMA,1,R,R,1,4,N,N,N,3.4,19.1,N
401,2024,MCI,1,R,L,0,5,N,N,N,3.7,16.4,Y
401,2024,RMA,1,R,R,1,6,N,N,N,5.8,18,N
401,2024,MCI,2,L,R,1,7,N,N,N,1.4,0,N
401,2024,RMA,5,R,L,1,8,N,N,Y,0,12.5,N
401,2024,MCI,1,L,L,1,9,N,Y,N,1.6,0,N
401,2024,RMA,1,R,L,1,10,Y,N,Y,3,23.7,N
402,2024,INT,2,R,L,1,1,N,N,Y,7.3,29,N
402,2024,ATM,2,R,R,1,2,N,N,N,6.7,23.9,N
402,2024,INT,2,R,L,0,3,N,N,N,3.6,18.7,Y
402,2024,ATM,1,L,L,0,4,N,N,N,5.3,0,Y
402,2024,INT,2,R,L,0,5,N,N,N,3.6,0,Y
402,2024,ATM,1,R,R,1,6,N,N,N,2.9,0,N
402,2024,INT,3,L,R,1,7,N,N,N,3.3,14,N
402,2024,ATM,2,R,L,1,8,N,N,N,6.6,24.6,N
402,2024,INT,6,R,L,0,9,N,Y,N,2.4,14.9,N
403,2024,ARS,6,L,L,1,1,N,N,Y,6.8,32.4,N
403,2024,POR,1,R,R,1,2,N,N,N,10,28.8,N
403,2024,ARS,5,L,L,1,3,N,N,N,6.4,22.1,N
403,2024,POR,5,L,R,0,4,N,N,N,6,17.8,Y
403,2024,ARS,1,L,L,1,5,N,N,N,10.4,0,N
403,2024,POR,6,R,R,1,6,N,N,N,5.4,0,N
403,2024,ARS,3,R,R,1,7,N,N,N,6.6,18.8,N
403,2024,POR,5,R,R,0,8,N,Y,Y,6.7,34.5,N
404,2016,RMA,5,R,M,1,1,N,N,N,"4,7",34,N
404,2016,ATM,1,L,R,1,2,N,N,N,4,"18,2",N
404,2016,RMA,1,L,R,1,3,N,N,N,"7,4",16,N
404,2016,ATM,2,R,R,1,4,N,N,N,3,8,N
404,2016,RMA,5,L,M,1,5,N,N,N,5,14,N
404,2016,ATM,1,L,R,1,6,N,N,N,"8,5",16,N
404,2016,RMA,5,R,R,1,7,N,N,N,5,11,N
404,2016,ATM,1,R,L,0,8,N,N,N,3,8,N
404,2016,RMA,6,R,L,1,9,Y,N,N,6,11,N
405,2016,PSV,5,R,R,1,1,N,N,Y,2,18,N
405,2016,ATM,1,L,R,1,2,N,N,N,5,"13,5",N
405,2016,PSV,1,L,R,1,3,N,N,N,"9,5",22,N
405,2016,ATM,5,R,R,1,4,N,N,N,"3,5",9,N
405,2016,PSV,1,R,L,1,5,N,N,N,3,9,N
405,2016,ATM,5,R,L,1,6,N,N,N,3,9,N
405,2016,PSV,1,R,L,1,7,N,N,Y,"4,8",24,N
405,2016,ATM,6,R,R,1,8,N,N,N,9,"16,5",N
405,2016,PSV,3,L,R,1,9,N,N,N,4,15,N
405,2016,ATM,4,R,R,1,10,N,Y,N,"6,5",10,N
405,2016,PSV,3,L,R,1,11,N,N,N,5,12,N
405,2016,ATM,1,R,R,1,12,N,Y,N,5,13,N
405,2016,PSV,5,R,M,1,13,N,N,N,6,15,N
405,2016,ATM,5,L,R,1,14,N,Y,N,6,9,N
405,2016,PSV,4,R,L,0,15,N,N,N,2,"8,5",N
405,2016,ATM,1,R,L,1,16,Y,N,N,"4,5",10,N
406,2015,ATM,4,R,L,0,1,N,N,N,0,0,N
406,2015,LEV,3,R,M,0,2,N,N,N,0,0,Y
406,2015,ATM,6,L,R,1,3,N,N,N,6,0,N
406,2015,LEV,6,L,R,1,4,N,N,N,"2,5",0,N
406,2015,ATM,6,R,R,1,5,N,N,N,3,0,N
406,2015,LEV,4,L,L,0,6,N,N,N,3,0,N
406,2015,ATM,1,L,L,0,7,N,N,N,"3,8",0,Y
406,2015,LEV,1,R,R,1,8,N,N,N,"3,5",0,N
406,2015,ATM,5,R,R,1,9,N,N,N,"2,5",0,N
406,2015,LEV,4,R,L,0,10,N,Y,N,"2,5",0,N
407,2012,BAY,6,R,R,1,1,N,N,N,2,21,N
407,2012,CHE,5,L,R,0,2,N,N,Y,"3,5",31,Y
407,2012,BAY,5,R,R,1,3,N,N,N,3,11,N
407,2012,CHE,6,R,L,1,4,N,N,N,"3,7",13,N
407,2012,BAY,1,R,L,1,5,N,N,N,"3,5",17,N
407,2012,CHE,4,R,M,1,6,N,N,Y,3,"22,5",N
407,2012,BAY,5,L,R,0,7,N,N,Y,"2,5","15,5",Y
407,2012,CHE,5,L,M,1,8,N,N,Y,"4,5",27,N
407,2012,BAY,5,R,R,0,9,N,N,N,"4,8",18,N
407,2012,CHE,1,R,R,1,10,Y,N,N,"3,6",33,N
408,2012,BAY,5,L,L,1,1,N,N,N,2,"16,7",N
408,2012,RMA,1,R,L,0,2,N,N,Y,"3,5","16,5",Y
408,2012,BAY,1,R,R,1,3,N,N,N,"2,5","12,8",N
408,2012,RMA,1,R,L,0,4,N,N,Y,"3,7","13,8",Y
408,2012,BAY,5,R,R,0,5,N,N,N,3,22,Y
408,2012,RMA,2,R,R,1,6,N,N,Y,"2,6",9,N
408,2012,BAY,2,R,L,0,7,N,N,N,"2,5","11,5",Y
408,2012,RMA,4,R,L,0,8,N,N,Y,"4,5",32,N
408,2012,BAY,2,R,R,1,9,Y,N,N,"4,6",28,N
409,2009,ARS,1,L,L,0,1,N,N,N,5,19,Y
409,2009,ROM,1,R,L,1,2,N,N,N,3,16,N
409,2009,ARS,1,L,R,1,3,N,N,N,10,29,N
409,2009,ROM,3,R,M,0,4,N,N,N,"4,5",16,Y
409,2009,ARS,1,R,L,1,5,N,N,N,"1,5",13,N
409,2009,ROM,2,R,L,1,6,N,N,Y,3,16,N
409,2009,ARS,5,R,L,1,7,N,N,N,6,"15,6",N
409,2009,ROM,5,L,M,1,8,N,N,N,4,15,N
409,2009,ARS,3,R,R,1,9,N,N,N,6,11,N
409,2009,ROM,6,R,L,1,10,N,Y,Y,5,15,N
409,2009,ARS,3,R,L,1,11,N,N,N,6,12,N
409,2009,ROM,5,R,M,1,12,N,Y,N,6,14,N
409,2009,ARS,5,R,M,1,13,N,N,N,4,16,N
409,2009,ROM,5,L,R,1,14,N,Y,N,2,"11,5",N
409,2009,ARS,3,R,M,1,15,N,N,N,3,10,N
409,2009,ROM,6,L,R,0,16,N,Y,N,"2,3","6,5",N
410,2008,MUN,5,R,L,1,1,N,N,N,3,17,N
410,2008,CHE,6,R,R,1,2,N,N,N,3,25,N
410,2008,MUN,2,R,R,1,3,N,N,N,3,13,N
410,2008,CHE,5,R,L,1,4,N,N,N,5,17,N
410,2008,MUN,2,R,L,0,5,N,N,N,6,20,Y
410,2008,CHE,5,R,R,1,6,N,N,N,"3,5","13,5",N
410,2008,MUN,2,R,L,1,7,N,N,N,"1,8","20,2",N
410,2008,CHE,5,L,R,1,8,N,N,Y,"2,3","23,5",N
410,2008,MUN,1,R,L,1,9,N,Y,Y,4,15,N
410,2008,CHE,6,R,L,0,10,Y,N,N,2,12,N
410,2008,MUN,4,L,R,1,11,N,N,N,"2,8",11,N
410,2008,CHE,6,R,L,1,12,N,Y,N,2,"22,6",N
410,2008,MUN,5,L,L,1,13,N,N,N,2,10,N
410,2008,CHE,2,R,L,0,14,N,Y,N,2,12,Y
411,2008,SCH,1,R,L,1,1,N,N,N,9,"18,4",N
411,2008,POR,3,R,R,1,2,N,N,Y,8,24,N
411,2008,SCH,5,R,L,1,3,N,N,N,"5,8",20,N
411,2008,POR,1,R,L,0,4,N,N,N,3,13,Y
411,2008,SCH,5,R,L,1,5,N,N,N,"2,4",8,N
411,2008,POR,6,R,R,0,6,N,N,N,"3,8",12,Y
411,2008,SCH,6,R,R,1,7,Y,N,N,2,8,N
412,2008,SEV,1,R,R,1,1,N,N,N,"7,5",33,N
412,2008,FEN,2,L,L,1,2,N,N,N,4,23,N
412,2008,SEV,5,L,R,0,3,N,N,Y,5,18,Y
412,2008,FEN,1,R,L,0,4,N,N,N,"5,5",17,Y
412,2008,SEV,6,L,L,1,5,N,N,N,"5,5",44,N
412,2008,FEN,1,R,R,1,6,N,N,N,5,10,N
412,2008,SEV,3,R,L,0,7,N,N,N,"4,8",16,Y
412,2008,FEN,4,R,R,1,8,N,N,N,5,15,N
412,2008,SEV,1,R,L,0,9,N,Y,N,"8,6",18,Y
413,2007,LIV,5,L,L,1,1,N,N,N,"4,5",25,N
413,2007,CHE,5,L,R,0,2,N,N,N,3,15,Y
413,2007,LIV,5,R,R,1,3,N,N,N,"3,5","13,4",N
413,2007,CHE,2,R,L,1,4,N,N,N,3,10,N
413,2007,LIV,5,R,L,1,5,N,N,N,3,"12,5",N
413,2007,CHE,1,R,L,0,6,N,N,N,"4,6",17,Y
413,2007,LIV,1,R,L,1,7,Y,N,N,"2,88","16,8",N
414,2005,ACM,2,L,L,0,1,N,N,Y,"6,64",21,N
414,2005,LIV,2,R,L,1,2,N,N,N,4,17,N
414,2005,ACM,2,R,L,0,3,N,N,Y,"4,2",16,Y
414,2005,LIV,5,R,L,1,4,N,N,N,"4,8",27,N
414,2005,ACM,1,R,R,1,5,N,N,Y,0,22,N
414,2005,LIV,1,L,L,0,6,N,N,N,"3,5",15,Y
414,2005,ACM,2,R,R,1,7,N,N,Y,"3,7",16,N
414,2005,LIV,5,R,L,1,8,N,N,N,3,"14,5",N
414,2005,ACM,4,R,L,0,9,N,Y,Y,5,"12,6",Y
415,2005,PSV,1,R,R,1,1,N,N,N,"3,75","17,26",N
415,2005,OL,1,R,L,1,2,N,N,N,,,N
415,2005,PSV,4,R,L,1,3,N,N,N,"4,25",,N
415,2005,OL,5,R,L,0,4,N,N,N,7,"11,5",Y
415,2005,PSV,6,L,L,1,5,N,N,N,4,,N
415,2005,OL,1,L,R,1,6,N,N,N,3,"10,5",N
415,2005,PSV,3,L,L,1,7,N,N,N,5,11,Y
415,2005,OL,5,L,L,0,8,N,N,N,3,10,N
415,2005,PSV,2,R,R,1,9,Y,N,N,8,19,N
416,2003,JUV,5,R,L,0,1,N,N,N,5,19,Y
416,2003,ACM,2,L,L,1,2,N,N,N,8,"16,7",N
416,2003,JUV,2,R,L,1,3,N,N,N,"2,4",11,N
416,2003,ACM,1,R,R,0,4,N,N,N,"3,8",13,Y
416,2003,JUV,1,R,R,0,5,N,N,N,"5,8",22,Y
416,2003,ACM,3,L,L,0,6,N,N,N,3,7,Y
416,2003,JUV,3,L,M,0,7,N,N,N,"4,7",,Y
416,2003,ACM,6,R,L,1,8,N,N,N,4,11,N
416,2003,JUV,5,R,R,1,9,N,Y,N,4,22,N
416,2003,ACM,5,R,R,1,10,Y,N,N,10,,N
417,2001,BAY,4,R,R,0,1,N,N,N,3,26,N
417,2001,VAL,5,R,R,1,2,N,N,N,"2,5",,N
417,2001,BAY,6,R,M,1,3,N,N,N,2,14,N
417,2001,VAL,5,R,R,1,4,N,N,N,2,10,N
417,2001,BAY,6,R,R,1,5,N,N,N,2,"9,5",N
417,2001,VAL,2,L,R,0,6,N,N,N,4,16,Y
417,2001,BAY,5,R,L,0,7,N,N,N,"2,7",,Y
417,2001,VAL,4,L,M,0,8,N,N,N,4,"9,5",Y
417,2001,BAY,2,R,R,1,9,N,N,N,"1,5",11,N
417,2001,VAL,1,R,R,1,10,N,Y,N,3,18,N
417,2001,BAY,6,L,R,1,11,N,N,Y,3,17,N
