game_ID,Year,Team,Zone,Foot,Keeper,Goal,Penalty_number,Qualif,Elimination,Keeper_moovs,duration_sifflet,duration_ball,arret
101,2024,RCS,5,L,R,0,1,N,N,Y,1.5,72.9,Y
101,2024,LYO,2,R,R,1,2,N,N,N,6.6,22.5,N
101,2024,RCS,2,R,L,1,3,N,N,Y,,,N
101,2024,LYO,5,R,L,1,4,N,N,Y,7.8,19.9,N
101,2024,RCS,1,R,R,1,5,N,N,N,4.6,14.1,N
101,2024,LYO,5,R,R,1,6,N,N,N,8.3,21.5,N
101,2024,RCS,5,L,L,1,7,N,N,N,2.1,14.5,N
101,2024,LYO,5,R,L,1,8,N,N,Y,5.2,10.8,N
101,2024,RCS,6,R,L,0,9,N,Y,Y,5.0,18.3,N
102,2024,ROU,1,R,R,1,1,N,N,Y,1.4,18.3,N
102,2024,MON,5,R,L,1,2,N,N,Y,2.3,22.6,N
102,2024,ROU,5,R,L,1,3,N,N,N,3.4,11.3,N
102,2024,MON,5,R,R,1,4,N,N,Y,2.7,26.5,N
102,2024,ROU,2,R,L,1,5,N,N,N,3.4,21.7,N
102,2024,MON,5,R,R,1,6,N,N,Y,5.5,27.5,N
102,2024,ROU,1,R,L,0,7,N,N,N,2.8,26.4,Y
102,2024,MON,5,R,L,1,8,N,Y,Y,4.1,26.4,N
102,2024,ROU,6,R,R,1,9,Y,N,N,1.7,14.3,N
102,2024,MON,1,R,L,0,10,N,N,Y,3.4,36.5,Y
102,2024,ROU,6,R,L,1,11,N,N,N,1.4,20.8,N
102,2024,MON,1,R,L,1,12,N,Y,Y,7.3,37.5,N
102,2024,ROU,2,R,L,1,13,N,N,N,2.1,0,N
102,2024,MON,5,L,R,0,14,N,Y,Y,1.7,28.6,Y
103,2024,TFC,5,L,R,1,1,N,N,Y,3.15,0,N
103,2024,ROU,2,R,R,1,2,N,N,N,1.2,0,N
103,2024,TFC,2,R,L,1,3,N,N,Y,5.6,21.9,N
103,2024,ROU,1,L,L,1,4,N,N,N,7.4,25.4,N
103,2024,TFC,1,R,R,1,5,N,N,Y,2.4,24.7,N
103,2024,ROU,1,R,R,1,6,N,N,N,2.9,20.4,N
103,2024,TFC,1,R,L,1,7,N,N,N,1.5,0,N
103,2024,ROU,2,R,L,1,8,N,N,N,2.0,17.9,N
103,2024,TFC,5,R,L,1,9,N,N,N,2.6,24.7,N
103,2024,ROU,3,R,R,1,10,N,Y,N,1.9,13.5,N
103,2024,TFC,6,L,L,1,11,N,N,N,5.4,20.2,N
103,2024,ROU,1,R,L,1,12,N,Y,N,1.7,13.3,N
103,2024,TFC,2,L,R,1,13,N,N,N,3.2,24.0,N
103,2024,ROU,2,R,L,1,14,N,Y,N,1.8,0,N
103,2024,TFC,5,L,L,1,15,N,N,Y,3.6,27.0,N
103,2024,ROU,1,R,R,1,16,N,Y,N,2.5,0,N
103,2024,TFC,5,R,L,1,17,N,N,N,1.4,0,N
103,2024,ROU,4,L,L,1,18,N,Y,N,2.2,18.3,N
103,2024,TFC,1,L,R,1,19,N,N,N,2.7,19.4,N
103,2024,ROU,5,L,R,1,20,N,Y,N,3.9,15.6,N
103,2024,TFC,3,L,L,1,21,N,N,N,3.2,24.2,N
103,2024,ROU,5,L,L,1,22,N,Y,N,0.9,16.4,N
103,2024,TFC,5,L,L,0,23,N,N,N,5.5,0,N
103,2024,ROU,5,R,L,1,24,Y,N,N,1.3,9.6,N
104,2024,RCL,2,R,L,0,1,N,N,Y,4.7,29.7,Y
104,2024,MON,2,R,L,1,2,N,N,N,5.12,39.2,N
104,2024,RCL,1,R,R,1,3,N,N,Y,2.5,18.7,N
104,2024,MON,1,R,L,0,4,N,N,N,5.4,23.1,Y
104,2024,RCL,2,R,L,0,5,N,N,N,3.3,0,N
104,2024,MON,5,R,R,0,6,N,N,N,4.0,22.6,Y
104,2024,RCL,6,L,M,0,7,N,N,Y,4.6,0,N
104,2024,MON,1,R,L,0,8,N,N,Y,2.6,27.7,Y
104,2024,RCL,1,R,L,1,9,N,N,N,5.5,0,N
104,2024,MON,1,R,L,1,10,N,Y,Y,6.1,35.7,N
104,2024,RCL,2,R,R,1,11,N,N,N,3.4,19.1,N
104,2024,MON,5,R,R,1,12,N,Y,N,7.8,22.7,N
104,2024,RCL,5,R,L,1,13,N,N,N,3.8,16.0,N
104,2024,MON,2,R,L,1,14,N,Y,N,4.3,28.6,N
104,2024,RCL,5,R,L,1,15,N,N,Y,3.1,17.8,N
104,2024,MON,5,L,L,1,16,N,Y,N,2.7,28.1,N
104,2024,RCL,5,R,R,0,17,N,N,N,1.0,13.3,Y
104,2024,MON,2,R,L,1,18,Y,N,N,2.5,18.3,N
105,2024,OGN,1,R,L,0,1,N,N,Y,3.0,39.6,Y
105,2024,AJA,5,R,R,1,2,N,N,N,5.5,0,N
105,2024,OGN,5,L,M,1,3,N,N,Y,6.0,19.8,N
105,2024,AJA,1,R,L,1,4,N,N,N,6.9,18.9,N
105,2024,OGN,1,R,L,1,5,N,N,Y,3.0,0,N
105,2024,AJA,1,R,L,0,6,N,N,N,3.4,17.5,N
105,2024,OGN,6,R,R,1,7,N,N,N,3.6,33.3,N
