game_ID,Year,Team,Zone,Foot,Keeper,Goal,Penalty_number,Qualif,Elimination,Keeper_moovs,duration_sifflet,duration_ball,arret
1,1990,ROU,6,L,L,1,1,N,N,N,4.5,33,
1,1990,IRL,4,L,L,1,2,N,N,N,2,19,
1,1990,ROU,5,R,L,1,3,N,N,N,3.5,16,
1,1990,IRL,5,R,R,1,4,N,N,N,1.7,0,
1,1990,ROU,2,L,R,1,5,N,N,N,3.5,10.8,
1,1990,IRL,1,L,L,1,6,N,N,N,3.5,10,
1,1990,ROU,2,R,R,1,7,N,N,N,4.5,15,
1,1990,IRL,3,L,M,1,8,N,N,N,3,13,
1,1990,ROU,1,R,R,0,9,N,N,N,3.6,13,
1,1990,IRL,6,R,R,1,10,Y,N,N,2.5,35,
2,1990,ARG,5,R,M,1,1,N,N,N,2,19.2,
2,1990,YOU,2,R,R,0,2,N,N,N,2.7,13.5,
2,1990,ARG,2,R,R,1,3,N,N,N,1.5,11,
2,1990,YOU,3,R,R,1,4,N,N,N,2,18.3,
2,1990,ARG,1,L,L,0,5,N,N,N,1.5,8.5,
2,1990,YOU,1,L,R,1,6,N,N,N,,,
2,1990,ARG,6,R,L,0,7,N,N,N,1.5,,
2,1990,YOU,1,R,L,0,8,N,N,N,2.5,10,
2,1990,ARG,1,R,L,1,9,N,N,Y,4.5,30,
2,1990,YOU,6,R,R,0,10,N,Y,N,1.5,11.5,
3,1990,ITA,3,R,R,1,1,N,N,N,4,0,
3,1990,ARG,3,R,M,1,2,N,N,Y,1,16.5,
3,1990,ITA,1,R,L,1,3,N,N,N,2,14,
3,1990,ARG,3,R,R,1,4,N,N,N,1,9,
3,1990,ITA,2,R,L,1,5,N,N,N,1.5,10,
3,1990,ARG,5,R,L,1,6,N,N,N,3,14,
3,1990,ITA,6,R,R,0,7,N,N,N,1.5,14,
3,1990,ARG,1,L,R,1,8,N,N,N,2.5,10.7,
3,1990,ITA,5,L,R,0,9,N,Y,N,1,10.5,
4,1990,ENG,1,R,R,1,1,N,N,N,3,11,
4,1990,GER,1,R,L,1,2,N,N,N,3,8,
4,1990,ENG,6,R,R,1,3,N,N,N,1.5,16,
4,1990,GER,1,R,L,1,4,N,N,N,1.5,9.5,
4,1990,ENG,2,R,L,1,5,N,N,N,2.5,0,
4,1990,GER,6,R,R,1,6,N,N,N,2.5,11,
4,1990,ENG,3,L,L,0,7,N,N,N,1.7,13,
4,1990,GER,5,R,R,1,8,N,N,N,1,10,
4,1990,ENG,2,L,L,0,9,N,Y,N,1.7,10,
5,1994,MEX,6,L,R,0,1,N,N,N,1,21,N
5,1994,BUL,1,L,L,0,2,N,N,N,2,13.6,Y
5,1994,MEX,5,R,R,0,3,N,N,N,3.5,11.7,Y
5,1994,BUL,4,R,R,1,4,N,N,N,3.5,11.5,N
5,1994,MEX,1,R,L,0,5,N,N,N,2.7,12.3,Y
5,1994,BUL,2,R,L,1,6,N,N,N,2.1,10.3,N
5,1994,MEX,5,R,L,1,7,N,Y,N,1.8,20.2,N
5,1994,BUL,6,R,R,1,8,Y,N,N,3.5,11.7,N
6,1994,SWE,2,R,R,0,1,N,N,N,2.1,17.9,N
6,1994,ROU,5,R,R,1,2,N,N,N,0,14.1,N
6,1994,SWE,5,R,R,1,3,N,N,N,3.2,8.8,N
6,1994,ROU,5,L,L,1,4,N,N,N,2.7,15.9,N
6,1994,SWE,1,R,R,1,5,N,N,N,1,25,N
6,1994,ROU,2,R,R,1,6,N,N,N,0,14.3,N
6,1994,SWE,3,R,R,1,7,N,N,N,5,23.5,N
6,1994,ROU,5,R,R,0,8,N,N,N,1,0,Y
6,1994,SWE,4,R,M,1,9,N,N,N,1,11.1,N
6,1994,ROU,3,R,R,1,10,N,Y,N,3,13,N
6,1994,SWE,5,R,L,1,11,N,N,N,1.2,8.2,N
6,1994,ROU,5,R,R,0,12,N,Y,N,3.2,18.6,Y
7,1994,ITA,4,R,R,0,1,N,N,N,0,0,N
7,1994,BRE,1,R,L,0,2,N,N,N,2.5,20.6,Y
7,1994,ITA,2,R,R,1,3,N,N,N,1,0,N
7,1994,BRE,2,R,M,1,4,N,N,N,2.9,12.1,N
7,1994,ITA,4,L,L,1,5,N,N,N,1.5,16.4,N
7,1994,BRE,5,L,L,1,6,N,N,N,4.4,23,N
7,1994,ITA,5,R,R,0,7,N,N,N,1.1,24.9,Y
7,1994,BRE,6,R,L,1,8,N,N,N,2,15.5,N
7,1994,ITA,4,R,R,0,9,N,Y,N,2.5,13.1,N
8,1998,ARG,5,L,R,1,1,N,N,N,2.1,13.7,N
8,1998,ENG,2,R,L,1,2,N,N,N,1,12.5,N
8,1998,ARG,5,R,R,0,3,N,N,N,2.1,13,Y
8,1998,ENG,5,R,R,0,4,N,N,N,8,27.5,Y
8,1998,ARG,2,R,L,1,5,N,N,N,4.3,15.9,N
8,1998,ENG,2,R,L,1,6,N,N,Y,1.3,39,N
8,1998,ARG,1,R,L,1,7,N,N,N,1.9,13.7,N
8,1998,ENG,4,R,R,1,8,N,N,N,5.3,6.4,N
8,1998,ARG,5,R,R,1,9,N,N,N,4.5,22.6,N
8,1998,ENG,2,R,L,0,10,N,Y,N,2.1,0,Y
9,1998,FRA ,1,R,R,1,1,N,N,N,1.1,22.9,N
9,1998,ITA,5,R,L,1,2,N,N,N,4.2,14.6,N
9,1998,FRA ,1,L,L,0,3,N,N,N,7.8,17,Y
9,1998,ITA,1,R,L,0,4,N,N,N,3.6,10.3,Y
9,1998,FRA ,1,R,R,1,5,N,N,Y,6,14,N
9,1998,ITA,2,R,R,1,6,N,N,N,0,10.6,N
9,1998,FRA ,5,R,R,1,7,N,N,N,3.2,12.2,N
9,1998,ITA,6,L,R,1,8,N,N,N,1.2,10.3,N
9,1998,FRA ,5,R,R,1,9,N,N,N,2.9,14.2,N
9,1998,ITA,4,R,R,0,10,N,Y,N,2,9.6,N
10,1998,BRA,2,R,R,1,1,N,N,N,0,13,N
10,1998,NED,1,L,L,1,2,N,N,N,2.9,10.2,N
10,1998,BRA,6,L,L,1,3,N,N,N,4.4,13.9,N
10,1998,NED,5,R,R,1,4,N,N,Y,3.1,8.8,N
10,1998,BRA,4,R,L,1,5,N,N,N,2.6,12.8,N
10,1998,NED,5,L,R,0,6,N,N,N,4.2,22.4,Y
10,1998,BRA,2,R,R,1,7,N,N,N,3,0,N
10,1998,NED,1,R,L,0,8,N,Y,N,2.4,4.7,Y
11,2002,IRE,2,R,R,1,1,N,N,N,1.6,9,N
11,2002,ESP,1,R,R,1,2,N,N,Y,2,7.7,N
11,2002,IRE,4,R,R,0,3,N,N,N,1.5,7.7,N
11,2002,ESP,6,R,L,1,4,N,N,N,3,10.9,N
11,2002,IRE,3,R,M,0,5,N,N,N,0,17.5,Y
11,2002,ESP,5,L,L,0,6,N,N,N,1.4,14.7,N
11,2002,IRE,5,L,R,0,7,N,N,N,3.8,9.4,Y
11,2002,ESP,1,R,R,0,8,Y,N,N,6.8,15.5,N
11,2002,IRE,6,R,R,1,9,N,Y,N,0,11.5,N
11,2002,ESP,3,R,L,1,10,Y,N,N,0,28,N
12,2002,SKO,5,R,R,1,1,N,N,N,1.7,21.8,N
12,2002,ESP,2,R,R,1,2,N,N,N,2.6,0,N
12,2002,SKO,6,R,M,1,3,N,N,N,2.9,9.6,N
12,2002,ESP,1,R,R,1,4,N,N,N,2.1,6.8,N
12,2002,SKO,3,R,L,1,5,N,N,N,3.9,0,N
12,2002,ESP,6,R,M,1,6,N,N,Y,3.5,0,N
12,2002,SKO,1,R,L,1,7,N,N,N,2.1,10.9,N
12,2002,ESP,5,R,R,0,8,N,N,N,1.6,5.3,Y
12,2002,SKO,6,R,M,1,9,Y,N,Y,3.7,11.6,N
13,2006,UKR,1,R,L,0,1,N,N,Y,2.8,15.6,Y
13,2006,SWI,1,L,L,0,2,N,N,N,2.1,33,Y
13,2006,UKR,3,R,L,1,3,N,N,N,1,10.6,N
13,2006,SWI,4,R,L,0,4,N,N,N,2.1,17,N
13,2006,UKR,6,R,L,1,5,N,N,N,2.2,11.9,N
13,2006,SWI,5,R,R,0,6,N,N,Y,2,16.4,N
13,2006,UKR,1,R,R,1,7,Y,N,N,2.5,10.2,N
14,2006,GER,5,R,R,1,1,N,N,N,1.9,9.9,N
14,2006,ARG,2,R,L,1,2,N,N,N,4.9,14.7,N
14,2006,GER,2,R,R,1,3,N,N,N,2,8.3,N
14,2006,ARG,5,R,R,0,4,N,N,Y,1.8,11.6,Y
14,2006,GER,5,R,L,1,5,N,N,N,2,0,N
14,2006,ARG,1,R,L,1,6,N,N,N,1.6,8.6,N
14,2006,GER,5,R,L,1,7,N,N,N,2.4,23.9,N
14,2006,ARG,5,L,R,0,8,N,Y,N,1.7,9.7,Y
15,2006,POR,1,R,L,1,1,N,N,Y,2.8,105,N
15,2006,ENG,5,R,R,0,2,N,N,Y,2.4,30.7,Y
15,2006,POR,1,L,R,0,3,N,N,Y,1.4,27,N
15,2006,ENG,1,R,L,1,4,N,N,N,1.5,23.4,N
15,2006,POR,1,R,L,0,5,N,N,Y,0,25.1,Y
15,2006,ENG,5,R,R,0,6,N,N,N,1.6,20.5,Y
15,2006,POR,1,R,M,1,7,N,N,N,2.4,0,N
15,2006,ENG,1,R,L,0,8,N,N,N,1.1,12.3,Y
15,2006,POR,6,R,L,1,9,Y,N,N,4.4,29.6,N
16,2006,ITA,4,R,L,1,1,N,N,N,1.3,24.5,N
16,2006,FRA ,5,R,L,1,2,N,N,N,3.4,20.8,N
16,2006,ITA,5,R,R,1,3,N,N,N,2.3,23,N
16,2006,FRA ,2,R,R,0,4,N,N,N,1.9,14,N
16,2006,ITA,2,R,L,1,5,N,N,N,2.5,10.8,N
16,2006,FRA ,1,L,R,1,6,N,N,Y,3.9,24.7,N
16,2006,ITA,2,R,R,1,7,N,N,Y,3.1,17.8,N
16,2006,FRA ,6,R,L,1,8,N,Y,N,1.7,11.7,N
16,2006,ITA,6,R,L,1,9,Y,N,N,2.8,20.2,N
17,2010,PAR,1,R,L,1,1,N,N,N,2,0,N
17,2010,JAP,6,R,L,1,2,N,N,N,8,25.3,N
17,2010,PAR,5,R,R,1,3,N,N,N,4.2,11.5,N
17,2010,JAP,2,R,L,1,4,N,N,N,2.4,24.1,N
17,2010,PAR,3,L,R,1,5,N,N,N,9.6,18.2,N
17,2010,JAP,2,R,L,0,6,N,N,N,2.4,12.9,N
17,2010,PAR,4,R,L,1,7,N,N,N,0,0,N
17,2010,JAP,3,L,R,1,8,N,N,N,0,15.5,N
17,2010,PAR,1,L,R,1,9,Y,N,N,0,0,N
18,2010,URU,5,R,L,1,1,N,N,N,2.4,11.7,N
18,2010,GHA,6,R,R,1,2,N,N,N,2.9,11.7,N
18,2010,URU,2,R,L,1,3,N,N,N,6.4,14.9,N
18,2010,GHA,2,R,L,1,4,N,N,N,3,6,N
18,2010,URU,3,R,L,1,5,N,N,Y,3.6,12.8,N
18,2010,GHA,5,R,R,0,6,N,N,N,2.9,15.5,Y
18,2010,URU,6,R,L,0,7,N,N,N,3.7,13.3,N
18,2010,GHA,5,R,R,0,8,N,N,Y,3.2,0,Y
18,2010,URU,3,L,L,1,9,Y,N,N,9.1,25,N
19,2014,BRA,1,R,R,1,1,N,N,N,0,22,N
19,2014,CHI,4,R,M,0,2,N,N,N,0,15,Y
19,2014,BRA,1,R,R,0,3,N,N,N,5.3,14.8,N
19,2014,CHI,1,R,L,0,4,N,N,N,0,0,Y
19,2014,BRA,6,L,R,1,5,N,N,N,0,0,N
19,2014,CHI,6,R,M,1,6,N,N,N,0,0,N
19,2014,BRA,3,L,R,0,7,N,N,N,0,12.1,Y
19,2014,CHI,3,R,R,1,8,N,N,N,6,18.2,N
19,2014,BRA,1,R,R,1,9,N,N,N,12,0,N
19,2014,CHI,6,R,R,0,10,N,Y,N,0,11,N
20,2014,CRC,4,R,L,1,1,N,N,N,5,17.5,N
20,2014,GRE,1,L,R,1,2,N,N,N,1.1,18,N
