game_ID,Year,Team,Zone,Foot,Keeper,Goal,Penalty_number,Qualif,Elimination,Keeper_moovs,duration_sifflet,duration_ball,arret
1001,2021,AHL ,1,R,R,1,1,N,N,N,4.3,0,N
1001,2021,PAL,5,R,R,0,2,N,N,N,13,34,Y
1001,2021,AHL ,1,R,L,0,3,N,N,N,4.1,20.11,Y
1001,2021,PAL,5,R,R,0,4,N,N,N,3.6,18.1,N
1001,2021,AHL ,5,R,L,0,5,N,N,N,3.1,13.2,N
1001,2021,PAL,3,L,L,1,6,N,N,N,3.1,20.4,N
1001,2021,AHL ,3,R,L,1,7,N,N,N,4.1,15.3,N
1001,2021,PAL,5,R,L,1,8,N,N,N,2.6,18.8,N
1001,2021,AHL ,6,R,L,1,9,N,N,Y,2.7,23.9,N
1001,2021,PAL,1,R,L,0,10,N,Y,N,4.6,21.8,Y
1002,2019,HIL,5,R,L,1,1,N,N,N,2,49,N
1002,2019,MON,1,R,L,1,2,N,N,N,2.5,14.9,N
1002,2019,HIL,4,R,L,1,3,N,N,N,2.6,9.7,N
1002,2019,MON,1,R,R,1,4,N,N,N,3.8,23.8,N
1002,2019,HIL,5,R,R,0,5,N,N,N,4.5,15.6,Y
1002,2019,MON,3,R,R,1,6,N,N,N,2.8,22.7,N
1002,2019,HIL,2,R,L,1,7,N,N,N,8.8,23.3,N
1002,2019,MON,2,L,L,0,8,N,N,N,3.1,14.8,N
1002,2019,HIL,5,R,R,0,9,N,N,N,2,9.4,Y
1002,2019,MON,1,R,M,1,10,Y,N,N,4.7,19.9,N
1003,2018,GDL,2,L,L,1,1,N,N,N,5.1,23.8,N
1003,2018,ETU,1,R,L,0,2,N,N,Y,2.8,20.6,Y
1003,2018,GDL,2,L,R,0,3,N,N,N,2.8,12.1,N
1003,2018,ETU,2,R,R,1,4,N,N,Y,3.5,20.1,N
1003,2018,GDL,4,R,L,1,5,N,N,N,0,11.9,N
1003,2018,ETU,1,L,R,1,6,N,N,N,3,12.6,N
1003,2018,GDL,1,R,L,0,7,N,N,N,8.7,11.3,Y
1003,2018,ETU,5,L,R,0,8,N,N,N,3.3,13,Y
1003,2018,GDL,4,R,L,1,9,N,N,Y,1.9,19.8,N
1003,2018,ETU,5,R,L,1,10,N,Y,Y,2.1,16.6,N
1003,2018,GDL,1,R,R,1,11,N,N,N,3.8,17.4,N
1003,2018,ETU,2,R,R,1,12,N,Y,N,2.7,0,N
1003,2018,GDL,4,L,R,1,13,N,N,Y,3.6,15.5,N
1003,2018,ETU,2,R,L,1,14,N,Y,N,3.6,26.4,N
1003,2018,GDL,6,R,L,0,15,N,N,Y,1.8,10.5,N
1003,2018,ETU,1,R,R,1,16,Y,N,N,3.6,20.7,N
1004,2018,AIN,5,R,L,1,1,N,N,N,7.4,25.9,N
1004,2018,CAR,1,R,R,1,2,N,N,N,1.9,14.6,N
1004,2018,AIN,6,R,R,1,3,N,N,Y,7.7,20,N
1004,2018,CAR,3,L,L,1,4,N,N,N,2.2,0,N
1004,2018,AIN,6,R,R,1,5,N,N,N,9.4,20.2,N
1004,2018,CAR,1,R,R,1,6,N,N,N,1.9,0,N
1004,2018,AIN,2,R,L,1,7,N,N,N,7,18.3,N
1004,2018,CAR,2,R,R,1,8,N,N,N,4.4,0,N
1004,2018,AIN,6,L,R,1,9,N,N,N,6.5,14.4,N
1004,2018,CAR,5,R,R,0,10,N,Y,N,3.8,12.4,Y
1005,2018,AIN,1,R,R,1,1,N,N,N,4.8,31.8,N
1005,2018,WLG,6,R,R,1,2,N,N,N,2.2,18.5,N
1005,2018,AIN,4,R,R,0,3,N,N,N,2.9,14.0,N
1005,2018,WLG,2,R,L,0,4,N,N,N,4.3,0,Y
1005,2018,AIN,6,R,L,1,5,N,N,N,3.7,10.3,N
1005,2018,WLG,6,R,L,1,6,N,N,Y,2.7,0,N
1005,2018,AIN,2,R,L,1,7,N,N,N,3.3,14.7,N
1005,2018,WLG,2,R,L,1,8,N,N,Y,1.1,13.0,N
1005,2018,AIN,5,R,L,1,9,N,N,N,4.8,16.7,N
1005,2018,WLG,5,R,R,0,10,N,Y,N,2.5,14.8,Y
1006,2016,CFA,2,R,L,0,1,N,N,N,5.8,0,N
1006,2016,ATN,1,L,R,1,2,N,N,N,2.5,0,N
1006,2016,CFA,6,L,R,0,3,N,N,N,2.4,19.1,N
1006,2016,ATN,1,R,R,0,4,N,N,N,2.7,13.6,N
1006,2016,CFA,6,R,L,1,5,N,N,N,3.2,13.3,N
1006,2016,ATN,1,R,L,1,6,N,N,N,3.6,14.7,N
1006,2016,CFA,6,R,M,1,7,N,N,N,1.7,13.4,N
1006,2016,ATN,1,R,R,1,8,N,N,N,5.6,15.8,N
1006,2016,CFA,2,R,L,1,9,N,N,N,3.1,19.5,N
1006,2016,ATN,6,R,L,1,10,Y,N,N,1.7,0,N
1007,2014,AUC,1,R,L,1,1,N,N,N,4.4,29.7,N
1007,2014,MAT,1,R,L,0,2,N,N,Y,3.1,42.1,Y
1007,2014,AUC,1,R,R,1,3,N,N,N,1.3,0,N
1007,2014,MAT,3,R,R,1,4,N,N,N,6.0,29.6,N
1007,2014,AUC,1,R,L,1,5,N,N,N,2.2,26.3,N
1007,2014,MAT,1,R,L,1,6,N,N,N,2.4,19.2,N
1007,2014,AUC,1,L,L,0,7,N,N,N,3.1,14.2,Y
1007,2014,MAT,5,R,R,1,8,N,N,Y,5.4,0,N
1007,2014,AUC,2,R,R,1,9,N,N,N,1.5,0,N
1007,2014,MAT,6,R,L,0,10,N,Y,Y,1.4,15.8,N
1008,2011,ALS,1,R,R,1,1,N,N,N,2.6,15.3,N
1008,2011,KAS,1,L,R,1,2,N,N,N,7.9,19.1,N
1008,2011,ALS,1,R,L,1,3,N,N,N,2.3,10.9,N
1008,2011,KAS,1,R,R,1,4,N,N,N,3.2,17.8,N
1008,2011,ALS,2,L,L,1,5,N,N,N,4.8,24.7,N
1008,2011,KAS,5,L,R,0,6,N,N,N,3.9,23.1,Y
1008,2011,ALS,6,R,R,1,7,N,N,N,7.2,16.9,N
1008,2011,KAS,2,R,L,1,8,N,N,N,3.9,0,N
1008,2011,ALS,1,L,R,1,9,Y,N,N,2.5,8.3,N
1009,2011,MON,5,R,R,0,1,N,N,Y,6.5,24.1,Y
1009,2011,KAS,5,R,L,1,2,N,N,Y,6.1,16.4,N
1009,2011,MON,1,R,R,1,3,N,N,Y,2.1,11.2,N
1009,2011,KAS,1,L,R,1,4,N,N,N,7.5,20.3,N
1009,2011,MON,5,L,L,1,5,N,N,N,7.9,18.2,N
1009,2011,KAS,2,R,R,1,6,N,N,N,2.4,9.2,N
1009,2011,MON,5,R,R,0,7,N,N,N,2.2,0,N
1009,2011,KAS,5,L,R,0,8,Y,N,N,3.2,16.5,Y
1009,2011,MON,2,R,M,1,9,N,Y,N,4.9,14.9,N
1009,2011,KAS,5,L,R,1,10,Y,N,N,2.9,0,N
